Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMT,"American Tower Corp",282.9,-1.7,-0.60%,284.65,284.69,281.72,973400,2021-08-25
ARE,"Alexandria Real Estate Equities",203.84,-0.68,-0.33%,204,205.56,203.36,750600,2021-08-25
AVB,"Avalonbay Communities",222.26,0.47,+0.21%,221.55,224.29,220.47,339800,2021-08-25
BXP,"Boston Properties",113.98,-0.34,-0.30%,114.31,115.18,113.06,488800,2021-08-25
CBRE,"CBRE Group Inc",94.49,1.6,+1.72%,92.53,94.97,92.18,1175900,2021-08-25
CCI,"Crown Castle International Corp",190.3,-2.23,-1.16%,192.51,192.58,189.93,1404300,2021-08-25
DLR,"Digital Realty Trust",158.63,-2.95,-1.83%,160.68,161.05,157.08,1244800,2021-08-25
DRE,"Duke Realty Corp",49.47,-0.2,-0.40%,49.53,49.82,49.28,1210200,2021-08-25
EQIX,"Equinix Inc",807.53,-12.71,-1.55%,819.09,821.48,801.2,317200,2021-08-25
EQR,"Equity Residential",81.96,0.19,+0.23%,81.77,82.64,81.27,1876600,2021-08-25
ESS,"Essex Property Trust",317.95,2.94,+0.93%,315.35,321.4,314.72,325700,2021-08-25
EXR,"Extra Space Storage Inc",180.23,2.43,+1.37%,177.8,181.25,177.52,718800,2021-08-25
FRT,"Federal Realty Investment Trust",119.59,1.64,+1.39%,118.59,121.07,117.68,534500,2021-08-25
HST,"Host Marriott Financial Trust",16.17,0.23,+1.44%,15.9,16.26,15.66,8688800,2021-08-25
IRM,"Iron Mountain Inc",45.88,0.11,+0.24%,45.75,46.14,45.46,1010700,2021-08-25
KIM,"Kimco Realty Corp",22,0.37,+1.71%,21.7,22.12,21.52,6303900,2021-08-25
MAA,"Mid-America Apartment Communities",187.6,1.33,+0.71%,186.36,189.15,185.67,368600,2021-08-25
O,"Realty Income Corp",70.93,0.09,+0.13%,70.72,71.39,70.26,2348500,2021-08-25
PEAK,"Healthpeak Properties Inc",35.23,0.08,+0.23%,35.05,35.61,34.9,2941900,2021-08-25
PLD,"Prologis Inc",130.53,-0.22,-0.17%,130.53,131.32,129.68,2242200,2021-08-25
PSA,"Public Storage",316.38,-1.45,-0.46%,316.94,318.5,315.82,643600,2021-08-25
REG,"Regency Centers Corp",67.1,1.61,+2.46%,65.67,67.32,65.16,886600,2021-08-25
SBAC,"SBA Communications",349.58,-3.06,-0.87%,352.67,352.67,348.36,547700,2021-08-25
SPG,"Simon Property Group",132.54,-0.02,-0.02%,132.6,134.52,131.63,1746600,2021-08-25
UDR,"United Dominion Realty Trust",52.18,0.05,+0.10%,52.15,52.72,51.8,1520700,2021-08-25
VNO,"Vornado Realty Trust",41.7,0,0.00%,41.58,42.12,41.36,1481300,2021-08-25
VTR,"Ventas Inc",55.13,0.6,+1.10%,54.49,55.75,54.13,2386100,2021-08-25
WELL,"Welltower Inc",84.89,0.41,+0.49%,84.53,85.73,84,1544500,2021-08-25
WY,"Weyerhaeuser Company",35.26,0.4,+1.15%,34.96,35.43,34.66,2633100,2021-08-25
"Downloaded from Barchart.com as of 08-26-2021 04:04am CDT"
